id,path,filename,extension,size
1,ROM/0001/Donkey Kong (J) [!].nes,Donkey Kong (J) [!].nes,nes,24592
2,ROM/0001/Donkey Kong (J).fds,Donkey Kong (J).fds,fds,65516
3,ROM/0001/Donkey Kong (W) [!].nes,Donkey Kong (W) [!].nes,nes,24592
4,ROM/0002/Donkey Kong Jr. (J) [!].nes,Donkey Kong Jr. (J) [!].nes,nes,24592
5,ROM/0002/Donkey Kong Jr. (J).fds,Donkey Kong Jr. (J).fds,fds,65516
6,ROM/0002/Donkey Kong Jr. (W) [!].nes,Donkey Kong Jr. (W) [!].nes,nes,24592
7,ROM/0003/Popeye (J) [!].nes,Popeye (J) [!].nes,nes,24592
8,ROM/0003/Popeye (W) [!].nes,Popeye (W) [!].nes,nes,24592
9,ROM/0004/Gomoku Narabe (J) (Proto).fds,Gomoku Narabe (J) (Proto).fds,fds,65516
10,ROM/0004/Gomoku Narabe (J) [!].nes,Gomoku Narabe (J) [!].nes,nes,24592
11,ROM/0005/Mahjong (J) (REVA) [!].nes,Mahjong (J) (REVA) [!].nes,nes,24592
12,ROM/0005/Mahjong (J) (REVB) [!].nes,Mahjong (J) (REVB) [!].nes,nes,24592
13,ROM/0005/Mahjong (J).fds,Mahjong (J).fds,fds,65516
14,ROM/0006/Mario Bros. (E) (PRG0) [!].nes,Mario Bros. (E) (PRG0) [!].nes,nes,40976
15,ROM/0006/Mario Bros. (E) (PRG1) [!].nes,Mario Bros. (E) (PRG1) [!].nes,nes,24592
16,ROM/0006/Mario Bros. (W) [!].nes,Mario Bros. (W) [!].nes,nes,24592
17,ROM/0006/Mario Bros. (W) [HL].nes,Mario Bros. (W) [HL].nes,nes,24576
18,ROM/0007/Popeye no Eigo Asobi (J) [!].nes,Popeye no Eigo Asobi (J) [!].nes,nes,24592
19,ROM/0008/Baseball (J) [!].nes,Baseball (J) [!].nes,nes,24592
20,ROM/0008/Baseball (J).fds,Baseball (J).fds,fds,65516
21,ROM/0008/Baseball (U) [!].nes,Baseball (U) [!].nes,nes,24592
22,ROM/0009/Donkey Kong Jr. Math (UE) [!].nes,Donkey Kong Jr. Math (UE) [!].nes,nes,24592
23,ROM/0009/Donkey Kong Jr. no Sansuu Asobi (J) [!].nes,Donkey Kong Jr. no Sansuu Asobi (J) [!].nes,nes,24592
24,ROM/0010/Tennis (E) [!].nes,Tennis (E) [!].nes,nes,24592
25,ROM/0010/Tennis (J).fds,Tennis (J).fds,fds,65516
26,ROM/0010/Tennis (JU) [!].nes,Tennis (JU) [!].nes,nes,24592
27,ROM/0011/Pinball (E) [!].nes,Pinball (E) [!].nes,nes,24592
28,ROM/0011/Pinball (J).fds,Pinball (J).fds,fds,65516
29,ROM/0011/Pinball (JU) [!].nes,Pinball (JU) [!].nes,nes,24592
30,ROM/0012/Wild Gunman (W) (PRG0) [!].nes,Wild Gunman (W) (PRG0) [!].nes,nes,24592
31,ROM/0012/Wild Gunman (W) (PRG1) [!].nes,Wild Gunman (W) (PRG1) [!].nes,nes,24592
32,ROM/0013/Duck Hunt (W) [!].nes,Duck Hunt (W) [!].nes,nes,24592
33,ROM/0014/Golf (E) [!].nes,Golf (E) [!].nes,nes,24592
34,ROM/0014/Golf (J) (PRG0).fds,Golf (J) (PRG0).fds,fds,65516
35,ROM/0014/Golf (J) (PRG1).fds,Golf (J) (PRG1).fds,fds,65516
36,ROM/0014/Golf (J) (PRG2) (Possible Proto).fds,Golf (J) (PRG2) (Possible Proto).fds,fds,65516
37,ROM/0014/Golf (J) [!].nes,Golf (J) [!].nes,nes,24592
38,ROM/0014/Golf (U) [!].nes,Golf (U) [!].nes,nes,24592
39,ROM/0015/Hogan's Alley (W) [!].nes,Hogan's Alley (W) [!].nes,nes,24592
40,ROM/0016/Family Basic (J) (v2.1a) [!].nes,Family Basic (J) (v2.1a) [!].nes,nes,40976
41,ROM/0016/Playbox Basic (J).nes,Playbox Basic (J).nes,nes,40976
42,ROM/0017/Donkey Kong 3 (W) [!].nes,Donkey Kong 3 (W) [!].nes,nes,24592
43,ROM/0018/Nuts & Milk (J) [!].nes,Nuts & Milk (J) [!].nes,nes,24592
44,ROM/0019/Lode Runner (J) [!].nes,Lode Runner (J) [!].nes,nes,24592
45,ROM/0019/Lode Runner (U) [!].nes,Lode Runner (U) [!].nes,nes,24592
46,ROM/0020/Galaxian (J) (Evercade) [b1].nes,Galaxian (J) (Evercade) [b1].nes,nes,40976
47,ROM/0020/Galaxian (J) (PRG0) [!].nes,Galaxian (J) (PRG0) [!].nes,nes,16400
48,ROM/0020/Galaxian (J) (PRG1) [!].nes,Galaxian (J) (PRG1) [!].nes,nes,16400
49,ROM/0020/Galaxian (J).fds,Galaxian (J).fds,fds,65516
50,ROM/0020/Galaxian (W) (NC).nes,Galaxian (W) (NC).nes,nes,24592
51,ROM/0021/Devil World (E) [!].nes,Devil World (E) [!].nes,nes,24592
52,ROM/0021/Devil World (J) (PRG0) [!].nes,Devil World (J) (PRG0) [!].nes,nes,24592
53,ROM/0021/Devil World (J) (PRG1) [!].nes,Devil World (J) (PRG1) [!].nes,nes,24592
54,ROM/0022/4 Nin Uchi Mahjong (J) (PRG0) [!].nes,4 Nin Uchi Mahjong (J) (PRG0) [!].nes,nes,24592
55,ROM/0022/4 Nin Uchi Mahjong (J) (PRG1) [!].nes,4 Nin Uchi Mahjong (J) (PRG1) [!].nes,nes,24592
56,ROM/0023/F-1 Race (J) [!].nes,F-1 Race (J) [!].nes,nes,24592
57,ROM/0024/Pac-Man (Namco) (E) [!].nes,Pac-Man (Namco) (E) [!].nes,nes,24592
58,ROM/0024/Pac-Man (Namco) (J) (PRG0) [!].nes,Pac-Man (Namco) (J) (PRG0) [!].nes,nes,24592
59,ROM/0024/Pac-Man (Namco) (J) (PRG1) [!].nes,Pac-Man (Namco) (J) (PRG1) [!].nes,nes,24592
60,ROM/0024/Pac-Man (Namco) (J) (PRG2).nes,Pac-Man (Namco) (J) (PRG2).nes,nes,24592
61,ROM/0024/Pac-Man (Namco) (J).fds,Pac-Man (Namco) (J).fds,fds,65516
62,ROM/0024/Pac-Man (Namco) (U) [!].nes,Pac-Man (Namco) (U) [!].nes,nes,24592
63,ROM/0024/Pac-Man (Namco) (W) (Evercade).nes,Pac-Man (Namco) (W) (Evercade).nes,nes,24592
64,ROM/0024/Pac-Man (Namco) (W) (NC).nes,Pac-Man (Namco) (W) (NC).nes,nes,24592
65,ROM/0025/Xevious (E) [!].nes,Xevious (E) [!].nes,nes,40976
66,ROM/0025/Xevious (J) (PRG0) [!].nes,Xevious (J) (PRG0) [!].nes,nes,40976
67,ROM/0025/Xevious (J) (PRG1) [!].nes,Xevious (J) (PRG1) [!].nes,nes,40976
68,ROM/0025/Xevious (J).fds,Xevious (J).fds,fds,65516
69,ROM/0025/Xevious (U) (Evercade).nes,Xevious (U) (Evercade).nes,nes,40976
70,ROM/0025/Xevious (U) [!].nes,Xevious (U) [!].nes,nes,40976
71,ROM/0026/Urban Champion (W) [!].nes,Urban Champion (W) [!].nes,nes,24592
72,ROM/0027/Mappy (J) (Evercade).nes,Mappy (J) (Evercade).nes,nes,24592
73,ROM/0027/Mappy (J) [!].nes,Mappy (J) [!].nes,nes,24592
74,ROM/0027/Mappy (W) (NC).nes,Mappy (W) (NC).nes,nes,24592
75,ROM/0028/Clu Clu Land (J) [!].fds,Clu Clu Land (J) [!].fds,fds,65516
76,ROM/0028/Clu Clu Land (W) [!].nes,Clu Clu Land (W) [!].nes,nes,24592
77,ROM/0029/Excitebike (E) [!].nes,Excitebike (E) [!].nes,nes,24592
78,ROM/0029/Excitebike (JU) [!].nes,Excitebike (JU) [!].nes,nes,24592
79,ROM/0029/Excitebike (W) (SO).nes,Excitebike (W) (SO).nes,nes,40976
80,ROM/0030/Balloon Fight (E) [!].nes,Balloon Fight (E) [!].nes,nes,24592
81,ROM/0030/Balloon Fight (J) [!].nes,Balloon Fight (J) [!].nes,nes,24592
82,ROM/0030/Balloon Fight (U) [!].nes,Balloon Fight (U) [!].nes,nes,24592
83,ROM/0031/Ice Climber (J) [!].nes,Ice Climber (J) [!].nes,nes,24592
84,ROM/0031/Ice Climber (J).fds,Ice Climber (J).fds,fds,65516
85,ROM/0031/Ice Climber (UE) [!].nes,Ice Climber (UE) [!].nes,nes,24592
86,ROM/0032/Exerion (J) [!].nes,Exerion (J) [!].nes,nes,24592
87,ROM/0033/Galaga (E) [!].nes,Galaga (E) [!].nes,nes,40976
88,ROM/0033/Galaga (J) [!].nes,Galaga (J) [!].nes,nes,24592
89,ROM/0033/Galaga (J).fds,Galaga (J).fds,fds,65516
90,ROM/0033/Galaga (U) (Evercade).nes,Galaga (U) (Evercade).nes,nes,40976
91,ROM/0033/Galaga (U) [!].nes,Galaga (U) [!].nes,nes,40976
92,ROM/0033/Galaga (W) (NC).nes,Galaga (W) (NC).nes,nes,24592
93,ROM/0034/NS-Hu Basic (v3.0) (J) [!].nes,NS-Hu Basic (v3.0) (J) [!].nes,nes,40976
94,ROM/0035/Raid on Bungeling Bay (J) (PRG0) [!].nes,Raid on Bungeling Bay (J) (PRG0) [!].nes,nes,24592
95,ROM/0035/Raid on Bungeling Bay (J) (PRG1).nes,Raid on Bungeling Bay (J) (PRG1).nes,nes,24592
96,ROM/0035/Raid on Bungeling Bay (U) [!].nes,Raid on Bungeling Bay (U) [!].nes,nes,24592
97,ROM/0036/Formation Z (J) (PRG0) [!].nes,Formation Z (J) (PRG0) [!].nes,nes,24592
98,ROM/0036/Formation Z (J) (PRG1) [!].nes,Formation Z (J) (PRG1) [!].nes,nes,24592
99,ROM/0037/Soccer (E) [!].nes,Soccer (E) [!].nes,nes,40976
100,ROM/0037/Soccer (J).fds,Soccer (J).fds,fds,65516
101,ROM/0037/Soccer (JU) [!].nes,Soccer (JU) [!].nes,nes,40976
102,ROM/0038/Space Invaders (J) [!].nes,Space Invaders (J) [!].nes,nes,24592
103,ROM/0039/Championship Lode Runner (J) [!].nes,Championship Lode Runner (J) [!].nes,nes,24592
104,ROM/0040/Yie Ar Kung-Fu (J) (V1.2) [!].nes,Yie Ar Kung-Fu (J) (V1.2) [!].nes,nes,24592
105,ROM/0040/Yie Ar Kung-Fu (J) (V1.4) [!].nes,Yie Ar Kung-Fu (J) (V1.4) [!].nes,nes,24592
106,ROM/0041/Antarctic Adventure (J) (PRG0) [!].nes,Antarctic Adventure (J) (PRG0) [!].nes,nes,24592
107,ROM/0041/Antarctic Adventure (J) (PRG1) [!].nes,Antarctic Adventure (J) (PRG1) [!].nes,nes,24592
108,ROM/0042/Ninja-kun (J) (PRG0) [!].nes,Ninja-kun (J) (PRG0) [!].nes,nes,24592
109,ROM/0042/Ninja-kun (J) (PRG1).nes,Ninja-kun (J) (PRG1).nes,nes,24592
110,ROM/0042/Ninja-kun (J).fds,Ninja-kun (J).fds,fds,65516
111,ROM/0043/Chack'n Pop (J) [!].nes,Chack'n Pop (J) [!].nes,nes,24592
112,ROM/0044/Dig Dug (J) (Evercade).nes,Dig Dug (J) (Evercade).nes,nes,24592
113,ROM/0044/Dig Dug (J) [!].nes,Dig Dug (J) [!].nes,nes,24592
114,ROM/0044/Dig Dug (J).fds,Dig Dug (J).fds,fds,65516
115,ROM/0044/Dig Dug (W) (NC).nes,Dig Dug (W) (NC).nes,nes,24592
116,ROM/0045/Flappy (J) [!].nes,Flappy (J) [!].nes,nes,40976
117,ROM/0046/Wrecking Crew (J).fds,Wrecking Crew (J).fds,fds,65516
118,ROM/0046/Wrecking Crew (W) [!].nes,Wrecking Crew (W) [!].nes,nes,40976
119,ROM/0047/Kung Fu (E) [!].nes,Kung Fu (E) [!].nes,nes,40976
120,ROM/0047/Kung Fu (U) [!].nes,Kung Fu (U) [!].nes,nes,40976
121,ROM/0047/Spartan X (J) [!].nes,Spartan X (J) [!].nes,nes,40976
122,ROM/0047/Spartan X (J).fds,Spartan X (J).fds,fds,65516
123,ROM/0048/Hyper Olympic (J) (Genteiban!) [!].nes,Hyper Olympic (J) (Genteiban!) [!].nes,nes,49168
124,ROM/0048/Hyper Olympic (J) [!].nes,Hyper Olympic (J) [!].nes,nes,24592
125,ROM/0048/Track & Field (U) [!].nes,Track & Field (U) [!].nes,nes,65552
126,ROM/0048/Track & Field in Barcelona (E) [!].nes,Track & Field in Barcelona (E) [!].nes,nes,65552
127,ROM/0049/Star Force (E) [!].nes,Star Force (E) [!].nes,nes,65552
128,ROM/0049/Star Force (J) [!].nes,Star Force (J) [!].nes,nes,24592
129,ROM/0049/Star Force (U) [!].nes,Star Force (U) [!].nes,nes,65552
130,ROM/0050/Elevator Action (J) (PRG0) [!].nes,Elevator Action (J) (PRG0) [!].nes,nes,40976
131,ROM/0050/Elevator Action (J) (PRG1).nes,Elevator Action (J) (PRG1).nes,nes,40976
132,ROM/0050/Elevator Action (U) [!].nes,Elevator Action (U) [!].nes,nes,40976
133,ROM/0051/Field Combat (J) [!].nes,Field Combat (J) [!].nes,nes,24592
134,ROM/0052/Road Fighter (E) [!].nes,Road Fighter (E) [!].nes,nes,24592
135,ROM/0052/Road Fighter (J) [!].nes,Road Fighter (J) [!].nes,nes,24592
136,ROM/0053/Warpman (J) (Evercade).nes,Warpman (J) (Evercade).nes,nes,24592
137,ROM/0053/Warpman (J) [!].nes,Warpman (J) [!].nes,nes,24592
138,ROM/0054/Zippy Race (J) [!].nes,Zippy Race (J) [!].nes,nes,24592
139,ROM/0055/Door Door (J) [!].nes,Door Door (J) [!].nes,nes,24592
140,ROM/0056/Super Arabian (J) [!].nes,Super Arabian (J) [!].nes,nes,24592
141,ROM/0057/Robot Block (W) [!].nes,Robot Block (W) [!].nes,nes,40976
142,ROM/0058/Front Line (J) [!].nes,Front Line (J) [!].nes,nes,24592
143,ROM/0059/The Tower of Druaga (J) [!].nes,The Tower of Druaga (J) [!].nes,nes,40976
144,ROM/0059/The Tower of Druaga (U) (Evercade).nes,The Tower of Druaga (U) (Evercade).nes,nes,40976
145,ROM/0059/The Tower of Druaga (W) (NC).nes,The Tower of Druaga (W) (NC).nes,nes,40976
146,ROM/0060/Astro Robo Sasa (J) [!].nes,Astro Robo Sasa (J) [!].nes,nes,40976
147,ROM/0061/Naitou Kudan - Shougi Hiden (J) [!].nes,Naitou Kudan - Shougi Hiden (J) [!].nes,nes,24592
148,ROM/0062/Robot Gyro (W) [!].nes,Robot Gyro (W) [!].nes,nes,40976
149,ROM/0063/Geimos (J) [!].nes,Geimos (J) [!].nes,nes,40976
150,ROM/0064/10-Yard Fight (J) (PRG0) [!].nes,10-Yard Fight (J) (PRG0) [!].nes,nes,24592
151,ROM/0064/10-Yard Fight (J) (PRG1) [!].nes,10-Yard Fight (J) (PRG1) [!].nes,nes,24592
152,ROM/0064/10-Yard Fight (U) (AM).nes,10-Yard Fight (U) (AM).nes,nes,40976
153,ROM/0064/10-Yard Fight (UE) [!].nes,10-Yard Fight (UE) [!].nes,nes,40976
154,ROM/0065/Battle City (J) [!].nes,Battle City (J) [!].nes,nes,24592
155,ROM/0065/Battle City (W) (NMA).nes,Battle City (W) (NMA).nes,nes,24592
156,ROM/0066/Super Mario Bros. (E) (PRG0) [!].nes,Super Mario Bros. (E) (PRG0) [!].nes,nes,40976
157,ROM/0066/Super Mario Bros. (E) (PRG1) [!].nes,Super Mario Bros. (E) (PRG1) [!].nes,nes,40976
158,ROM/0066/Super Mario Bros. (J).fds,Super Mario Bros. (J).fds,fds,65516
159,ROM/0066/Super Mario Bros. (W) [!].nes,Super Mario Bros. (W) [!].nes,nes,40976
160,ROM/0067/Pooyan (J) [!].nes,Pooyan (J) [!].nes,nes,24592
161,ROM/0068/Hyper Sports (J) (PRG0) [!].nes,Hyper Sports (J) (PRG0) [!].nes,nes,24592
162,ROM/0068/Hyper Sports (J) (PRG1) [!].nes,Hyper Sports (J) (PRG1) [!].nes,nes,24592
163,ROM/0069/City Connection (E) [!].nes,City Connection (E) [!].nes,nes,65552
164,ROM/0069/City Connection (J) [!].nes,City Connection (J) [!].nes,nes,32784
165,ROM/0069/City Connection (U) (Evercade).nes,City Connection (U) (Evercade).nes,nes,65552
166,ROM/0069/City Connection (U) [!].nes,City Connection (U) [!].nes,nes,65552
167,ROM/0070/Route-16 Turbo (J) [!].nes,Route-16 Turbo (J) [!].nes,nes,40976
168,ROM/0071/Challenger (J) [!].nes,Challenger (J) [!].nes,nes,40976
169,ROM/0072/Kinnikuman - Muscle Tag Match (J) (PRG0) [!].nes,Kinnikuman - Muscle Tag Match (J) (PRG0) [!].nes,nes,24592
170,ROM/0072/Kinnikuman - Muscle Tag Match (J) (PRG1) [!].nes,Kinnikuman - Muscle Tag Match (J) (PRG1) [!].nes,nes,24592
171,ROM/0072/M.U.S.C.L.E. (U) [!].nes,M.U.S.C.L.E. (U) [!].nes,nes,24592
172,ROM/0073/Sky Destroyer (J) [!].nes,Sky Destroyer (J) [!].nes,nes,24592
173,ROM/0074/Ninja Jajamaru-kun (J) [!].nes,Ninja Jajamaru-kun (J) [!].nes,nes,32784
174,ROM/0074/Ninja Jajamaru-kun (UE) (VC).nes,Ninja Jajamaru-kun (UE) (VC).nes,nes,49168
175,ROM/0074/Ninja Jajamaru-kun (VS).nes,Ninja Jajamaru-kun (VS).nes,nes,49168
176,ROM/0075/Pac-Land (J) [!].nes,Pac-Land (J) [!].nes,nes,40976
177,ROM/0075/Pac-Land (W) (NC).nes,Pac-Land (W) (NC).nes,nes,40976
178,ROM/0076/Onyanko Town (J) [!].nes,Onyanko Town (J) [!].nes,nes,40976
179,ROM/0077/Pachicom (J) [!].nes,Pachicom (J) [!].nes,nes,40976
180,ROM/0077/Pachicom (J).fds,Pachicom (J).fds,fds,65516
181,ROM/0078/Mach Rider (E) [!].nes,Mach Rider (E) [!].nes,nes,40976
182,ROM/0078/Mach Rider (JU) (PRG0) [!].nes,Mach Rider (JU) (PRG0) [!].nes,nes,40976
183,ROM/0078/Mach Rider (JU) (PRG1) [!].nes,Mach Rider (JU) (PRG1) [!].nes,nes,40976
184,ROM/0079/BurgerTime (J) [!].nes,BurgerTime (J) [!].nes,nes,24592
185,ROM/0079/BurgerTime (J).fds,BurgerTime (J).fds,fds,65516
186,ROM/0079/BurgerTime (U) (Evercade).nes,BurgerTime (U) (Evercade).nes,nes,24592
187,ROM/0079/BurgerTime (U) [!].nes,BurgerTime (U) [!].nes,nes,24592
188,ROM/0080/Ikki (J) [!].nes,Ikki (J) [!].nes,nes,24592
189,ROM/0081/Portopia Renzoku Satsujin Jiken (J) [!].nes,Portopia Renzoku Satsujin Jiken (J) [!].nes,nes,40976
190,ROM/0082/Karateka (J) [!].nes,Karateka (J) [!].nes,nes,24592
191,ROM/0083/Lunar Ball (J) [!].nes,Lunar Ball (J) [!].nes,nes,24592
192,ROM/0083/Lunar Pool (E) [!].nes,Lunar Pool (E) [!].nes,nes,40976
193,ROM/0083/Lunar Pool (U) [!].nes,Lunar Pool (U) [!].nes,nes,24592
194,ROM/0084/Star Luster (J) (Evercade).nes,Star Luster (J) (Evercade).nes,nes,40976
195,ROM/0084/Star Luster (J) [!].nes,Star Luster (J) [!].nes,nes,40976
196,ROM/0084/Star Luster (VS).nes,Star Luster (VS).nes,nes,49168
197,ROM/0085/Volguard II (J) [!].nes,Volguard II (J) [!].nes,nes,40976
198,ROM/0086/Spelunker (J) [!].nes,Spelunker (J) [!].nes,nes,40976
199,ROM/0086/Spelunker (U) [!].nes,Spelunker (U) [!].nes,nes,40976
200,ROM/0087/Macross (J) [!].nes,Macross (J) [!].nes,nes,24592
201,ROM/0088/1942 (JU) [!].nes,1942 (JU) [!].nes,nes,40976
202,ROM/0089/Dough Boy (J) [!].nes,Dough Boy (J) [!].nes,nes,40976
203,ROM/0090/Galg (J) [!].nes,Galg (J) [!].nes,nes,40976
204,ROM/0091/Bokosuka Wars (J) [!].nes,Bokosuka Wars (J) [!].nes,nes,40976
205,ROM/0092/Chubby Cherub (U) [!].nes,Chubby Cherub (U) [!].nes,nes,40976
206,ROM/0092/Obake no Q Tarou (J) [!].nes,Obake no Q Tarou (J) [!].nes,nes,40976
207,ROM/0093/Binary Land (J) [!].nes,Binary Land (J) [!].nes,nes,24592
208,ROM/0094/Bomberman (J) [!].nes,Bomberman (J) [!].nes,nes,24592
209,ROM/0094/Bomberman (J).fds,Bomberman (J).fds,fds,65516
210,ROM/0094/Bomberman (U) [!].nes,Bomberman (U) [!].nes,nes,24592
211,ROM/0095/Thexder (J) [!].nes,Thexder (J) [!].nes,nes,40976
212,ROM/0096/Exed Exes (J) [!].nes,Exed Exes (J) [!].nes,nes,40976
213,ROM/0097/Lot Lot (J) [!].nes,Lot Lot (J) [!].nes,nes,40976
214,ROM/0098/Penguin-kun Wars (J).nes,Penguin-kun Wars (J).nes,nes,40976
215,ROM/0099/TwinBee (J) [!].nes,TwinBee (J) [!].nes,nes,49168
216,ROM/0099/TwinBee (J).fds,TwinBee (J).fds,fds,65516
217,ROM/0100/Son Son (J) [!].nes,Son Son (J) [!].nes,nes,40976
218,ROM/0101/The Legend of Zelda (E) (PRG0) [!].nes,The Legend of Zelda (E) (PRG0) [!].nes,nes,131088
219,ROM/0101/The Legend of Zelda (E) (PRG1) [!].nes,The Legend of Zelda (E) (PRG1) [!].nes,nes,131088
220,ROM/0101/The Legend of Zelda (U) (PRG0) [!].nes,The Legend of Zelda (U) (PRG0) [!].nes,nes,131088
221,ROM/0101/The Legend of Zelda (U) (PRG1) [!].nes,The Legend of Zelda (U) (PRG1) [!].nes,nes,131088
222,ROM/0101/Zelda no Densetsu (J) (PRG0).fds,Zelda no Densetsu (J) (PRG0).fds,fds,131016
223,ROM/0101/Zelda no Densetsu (J) (RPG1).fds,Zelda no Densetsu (J) (RPG1).fds,fds,131016
224,ROM/0101/Zelda no Densetsu 1 (J) [!].nes,Zelda no Densetsu 1 (J) [!].nes,nes,131088
225,ROM/0102/Golf (E) [!].nes,Golf (E) [!].nes,nes,24592
226,ROM/0102/Golf (J) (PRG0).fds,Golf (J) (PRG0).fds,fds,65516
227,ROM/0102/Golf (J) (PRG1).fds,Golf (J) (PRG1).fds,fds,65516
228,ROM/0102/Golf (J) (PRG2) (Possible Proto).fds,Golf (J) (PRG2) (Possible Proto).fds,fds,65516
229,ROM/0102/Golf (J) [!].nes,Golf (J) [!].nes,nes,24592
230,ROM/0102/Golf (U) [!].nes,Golf (U) [!].nes,nes,24592
231,ROM/0103/Soccer (E) [!].nes,Soccer (E) [!].nes,nes,40976
232,ROM/0103/Soccer (J).fds,Soccer (J).fds,fds,65516
233,ROM/0103/Soccer (JU) [!].nes,Soccer (JU) [!].nes,nes,40976
234,ROM/0104/Super Mario Bros. (E) (PRG0) [!].nes,Super Mario Bros. (E) (PRG0) [!].nes,nes,40976
235,ROM/0104/Super Mario Bros. (E) (PRG1) [!].nes,Super Mario Bros. (E) (PRG1) [!].nes,nes,40976
236,ROM/0104/Super Mario Bros. (J).fds,Super Mario Bros. (J).fds,fds,65516
237,ROM/0104/Super Mario Bros. (W) [!].nes,Super Mario Bros. (W) [!].nes,nes,40976
238,ROM/0105/Tennis (E) [!].nes,Tennis (E) [!].nes,nes,24592
239,ROM/0105/Tennis (J).fds,Tennis (J).fds,fds,65516
240,ROM/0105/Tennis (JU) [!].nes,Tennis (JU) [!].nes,nes,24592
241,ROM/0106/Baseball (J) [!].nes,Baseball (J) [!].nes,nes,24592
242,ROM/0106/Baseball (J).fds,Baseball (J).fds,fds,65516
243,ROM/0106/Baseball (U) [!].nes,Baseball (U) [!].nes,nes,24592
244,ROM/0107/Mahjong (J) (REVA) [!].nes,Mahjong (J) (REVA) [!].nes,nes,24592
245,ROM/0107/Mahjong (J) (REVB) [!].nes,Mahjong (J) (REVB) [!].nes,nes,24592
246,ROM/0107/Mahjong (J).fds,Mahjong (J).fds,fds,65516
247,ROM/0108/The Goonies (J) [!].nes,The Goonies (J) [!].nes,nes,49168
248,ROM/0108/The Goonies (J).fds,The Goonies (J).fds,fds,65516
249,ROM/0109/Circus Charlie (J) [!].nes,Circus Charlie (J) [!].nes,nes,24592
250,ROM/0110/Ninja Hattori-kun (J) [!].nes,Ninja Hattori-kun (J) [!].nes,nes,40976
251,ROM/0111/Gyrodine (J) [!].nes,Gyrodine (J) [!].nes,nes,40976
252,ROM/0112/Hydlide (U) [!].nes,Hydlide (U) [!].nes,nes,40976
253,ROM/0112/Hydlide Special (J) [!].nes,Hydlide Special (J) [!].nes,nes,40976
254,ROM/0113/Baltron (J) [!].nes,Baltron (J) [!].nes,nes,40976
255,ROM/0113/Baltron (J).fds,Baltron (J).fds,fds,65516
256,ROM/0114/Magmax (J) [!].nes,Magmax (J) [!].nes,nes,40976
257,ROM/0114/Magmax (U) [!].nes,Magmax (U) [!].nes,nes,40976
258,ROM/0115/Tag Team Pro-Wrestling (J) [!].nes,Tag Team Pro-Wrestling (J) [!].nes,nes,40976
259,ROM/0115/Tag Team Wrestling (U) [!].nes,Tag Team Wrestling (U) [!].nes,nes,40976
260,ROM/0116/Nazo no Murasamejou (J).fds,Nazo no Murasamejou (J).fds,fds,131016
261,ROM/0117/Argus (J) [!].nes,Argus (J) [!].nes,nes,49168
262,ROM/0118/Atlantis no Nazo (J) [!].nes,Atlantis no Nazo (J) [!].nes,nes,49168
263,ROM/0118/Super Pitfall II (U) (Proto).nes,Super Pitfall II (U) (Proto).nes,nes,65552
264,ROM/0119/Gegege no Kitarou (J) [!].nes,Gegege no Kitarou (J) [!].nes,nes,65552
265,ROM/0119/Ninja Kid (U) [!].nes,Ninja Kid (U) [!].nes,nes,65552
266,ROM/0120/Dig Dug II (J) [!].nes,Dig Dug II (J) [!].nes,nes,40976
267,ROM/0120/Dig Dug II (J).fds,Dig Dug II (J).fds,fds,65516
268,ROM/0120/Dig Dug II (U) (Evercade).nes,Dig Dug II (U) (Evercade).nes,nes,40976
269,ROM/0120/Dig Dug II (U) [!].nes,Dig Dug II (U) [!].nes,nes,40976
270,ROM/0121/Kage no Densetsu (J) [!].nes,Kage no Densetsu (J) [!].nes,nes,49168
271,ROM/0121/The Legend of Kage (U) [!].nes,The Legend of Kage (U) [!].nes,nes,49168
272,ROM/0122/Mighty Bomb Jack (E) [!].nes,Mighty Bomb Jack (E) [!].nes,nes,65552
273,ROM/0122/Mighty Bomb Jack (J) (PRG0) [!].nes,Mighty Bomb Jack (J) (PRG0) [!].nes,nes,40976
274,ROM/0122/Mighty Bomb Jack (J) (PRG1).nes,Mighty Bomb Jack (J) (PRG1).nes,nes,40976
275,ROM/0122/Mighty Bomb Jack (U) [!].nes,Mighty Bomb Jack (U) [!].nes,nes,65552
276,ROM/0123/Gradius (E) [!].nes,Gradius (E) [!].nes,nes,65552
277,ROM/0123/Gradius (J) [!].nes,Gradius (J) [!].nes,nes,65552
278,ROM/0123/Gradius (U) [!].nes,Gradius (U) [!].nes,nes,65552
279,ROM/0124/Sansuu 1 Nen (J).nes,Sansuu 1 Nen (J).nes,nes,40976
280,ROM/0125/Sansuu 2 Nen (J) [!].nes,Sansuu 2 Nen (J) [!].nes,nes,40976
281,ROM/0126/Sansuu 3 Nen (J) [!].nes,Sansuu 3 Nen (J) [!].nes,nes,40976
282,ROM/0127/Spy vs Spy (E) [!].nes,Spy vs Spy (E) [!].nes,nes,40976
283,ROM/0127/Spy vs Spy (J) [!].nes,Spy vs Spy (J) [!].nes,nes,40976
284,ROM/0127/Spy vs Spy (U) [!].nes,Spy vs Spy (U) [!].nes,nes,40976
285,ROM/0128/Seicross (J) (PRG0) [!].nes,Seicross (J) (PRG0) [!].nes,nes,40976
286,ROM/0128/Seicross (J) (PRG1) [!].nes,Seicross (J) (PRG1) [!].nes,nes,40976
287,ROM/0128/Seicross (U) [!].nes,Seicross (U) [!].nes,nes,40976
